title,author,genre,specific_genre,content,source,likes,comments
Lười Yêu,Nghĩa Võ,lục bát,,"Ngõ trước đón nàng xuân vừa ghé<
>Giọt sương mơ màng thắm Mai Đào<
>Vừa khéo ngõ sau còn mở hé<
>Để hạ gửi tình Phượng Cúc Lao<
>Ai trách được ai, hai tay bắt<
>Vừa yêu mơ mộng bóng xuân thì<
>Vừa thương tà áo mùa nắng hắt<
>Chỉ là cốt cách có cây si<
>Cửa sổ Tâm hồn quên chưa đóng<
>Lưới tình một mẻ hốt đầy kho<
>Mây trôi bên cửa nghe chiều muộn<
>Lỡ giận lá rơi,tội ẻm mà<
>Thu vừa đan áo quên lá rụng<
>Đông đã chen chân đến chực ngày<
>Thôi Tôi lười lắm không yêu nữa<
>Các cô dùng nắm tim tôi ngay<
>–Văn lãng–",https://www.facebook.com/groups/486407735098594/,0,0
Biển,Nghĩa Võ,bảy chữ,,"Phía sau ngọn sóng lem vết mực<
>Cả mảnh xế tà đượm hồn ai<
>Lưới bạc vờn trăng ôi lưới bạt<
>Gió mặn rát da đổi lưới đầy<
>Ai ơi, Biển thiếu gì đâu nước<
>Mà sao vẫn thấy dấu chân chim<
>Ở đâu ấy hả, còn trên cát<
>Nắng khứa vào da gió đốt tim.<
>– VĂN LÃNG –<
>""Ai ơi Biển thiếu gì đâu nước<
>Mà sao vẫn thấy dấu chân chim<
>Ở đâu ấy hả còn trên cát<
>Nắng khứa vào da gió đốt tim """,https://www.facebook.com/groups/486407735098594/,0,0
Đêm Dài Không Em,Đời Tự Sự,lục bát,,"Thời gian như bóng mây trôi<
>Đời người như gió qua đồi lẻ loi<
>Bao nhiêu mộng ước tan rồi<
>Chỉ còn lại tiếng lòng tôi nhớ người<
>Người đi, người đến, người xa<
>Nỗi buồn ôm trọn đêm dài không em<
>Niềm vui ngắm tóc mây hồng<
>Tan trong hư ảo bềnh bồng mây đi<
>Dòng sông cuốn tháng năm đi<
>Bờ cát in dấu những gì đã qua<
>Bao nhiêu lời hứa phôi pha<
>Chỉ còn lại bóng ta bên chiều<
>Nếu một ngày ta tan biến<
>Ai còn nhớ ta trong đời<
>Hay chỉ là cơn gió lặng<
>Trôi giữa trời chơi vơi<
>Người đi, người đến, người xa<
>Nỗi buồn ở lại đêm dài ngóng trông<
>Niềm vui em đã bên chồng<
>Bông hồng thuở ấy còn trông ngóng gì<
>Cây xanh rồi cũng già đi<
>Mỏng manh lá úa mong manh kiếp người<
>Thương yêu rồi cũng qua thôi<
>Nhân gian một kiếp nổi trôi tình đời<
>Ngày đi, ngày đến, ngày phai<
>Nỗi buồn ôm trọn đêm dài không em<
>Niềm vui ngắm tóc mây hồng<
>Tan trong hư ảo bềnh bồng mây đi<
>Thời gian giữ lại được gì<
>Đời người còn lại những gì nhớ mong<
>Bao nhiêu hẹn ước trong lòng<
>Bao nhiêu thương nhớ còn trông ngóng người",https://www.facebook.com/groups/486407735098594/,0,0
Tình Yêu Không Đo Bằng Vàng 9999,Francis Le,bảy chữ,,"Verse 1<
>Có những chiều mưa rơi qua mái nhỏ<
>Em ngồi vá lại những ngày gian nan<
>Anh mang đôi tay chai sần bụi gió<
>Mà tim vẫn đầy một ánh bình an<
>Không xe hoa, không lời vàng lấp lánh<
>Không lâu đài giữa phố đông người<
>Chỉ cần mỗi sáng còn nghe tiếng gọi<
>“Anh đây rồi…” là đủ cả cuộc đời<
>Pre-Chorus<
>Người ta đếm tình yêu bằng nhẫn cưới<
>Bằng bạc vàng hay những cuộc vui<
>Còn đôi ta giữ nhau bằng tin tưởng<
>Qua bão giông vẫn chẳng rời<
>Chorus<
>Tình yêu đâu đo bằng tiền<
>Mà bằng bình yên khi ở cạnh<
>Dẫu nghèo nàn hay giàu sang<
>Vẫn thương nhau như ngày đầu ánh mắt<
>Hạnh phúc chẳng phải kim cương<
>Mà là khi chung đường, chung bước<
>Bên nhau quý hơn mọi thứ trên đời<
>Như vàng 9999 hôm nay không đổi<
>Mãi sáng ngời trong tim…<
>Verse 2<
>Có lúc đời làm vai anh mỏi mệt<
>Em lặng thầm nắm lấy bàn tay<
>Một ánh nhìn còn hơn ngàn lời hứa<
>Cho anh biết mình còn có ngày mai<
>Rồi năm tháng sẽ làm tóc phai màu<
>Nhưng nghĩa tình đâu dễ nhạt phôi<
>Nhà có nhỏ vẫn đầy tiếng cười ấm áp<
>Vì trong nhau đã có một bầu trời<
>Bridge<
>Nếu mai này cuộc đời đổi thay<
>Ta còn nhau là còn tất cả<
>Giữa nhân gian nhiều điều vội vã<
>Một người thật lòng… quý hơn bạc vàng<
>Final Chorus<
>Tình yêu đâu đo bằng tiền<
>Mà bằng niềm tin luôn hiện hữu<
>Dẫu cuộc đời còn nhiều gian khó<
>Vẫn nắm tay đi hết nhân gian<
>Hạnh phúc chẳng nằm nơi giàu sang<
>Mà trong tim biết yêu và hiểu<
>Bên nhau thôi cũng đủ rực ngời<
>Quý hơn vàng 9999 hiện nay giữa đời…<
>Là em… là anh… là chúng ta…<
>Thơ Nhạc Lê Minh Thuận",https://www.facebook.com/groups/486407735098594/,1,0
Nhớ Người Dưng,Hà Văn Vinh,bảy chữ,,"Anh nhận được câu thơ em gửi tới<
>Nằng chiều thu vàng úa nỗi cô đơn<
>Xua tan đi những giấy phút giận hờn<
>Để khơi dậy nỗi nhớ trong ký ức<
>Lời em viết mang bao niềm hạnh phúc<
>Nghe dịu dàng thâu suốt cả năm canh<
>Tháng ngày dài níu chặt cả đời anh<
>Một nụ hôn nồng ấm em mang lại<
>Em vẫn đẹp theo thời gian lồng lẫy<
>Giữa thiên đường nằm ngủ thấy chiêm bao<
>Nụ hôn đầu trên môi thắm ngày nào<
>Cư chực chờn ngữ trị trái tim mãi<
>Em có biết giữa gập gềnh ngang trái<
>Anh mong ngày trở lại một mùa xuân<
>Để quên đi một mùa thu đã tàn<
>Vẫn đâu đây hương tóc em quyến rũ<
>Mối tình ấy ta trao nhau chưa đủ<
>Xa em rồi để lại những nhớ thương<
>Một mình anh, nặng bước trên con đường<
>Cứ in mãi hình em vào tâm trí<
>Tháng năm đi đêm từng đêm sũy nghĩ<
>Lòng nhớ mãi hình bóng một người dưng<
>Nhưng dòng sông cứ chảy mãi không ngừng<
>Để mình anh cô đơn trong đêm vắng.<
>Bài đăng lại có chỉnh sửa<
>Thơ Hà Văn Vinh",https://www.facebook.com/groups/486407735098594/,6,3
Rót Chén,Binh Thuan Vo Nguyen,lục bát,,"CÔ ĐƠN<
>BTVN<
>Nghèo giàu cũng một kiếp người<
>Bình yên giữ được quý mười vàng son<
>Mai này dẫu có héo mòn<
>Chút tình với đất vẫn còn xanh trong.<
>Mặc đời xô đẩy bạt phong<
>Ngồi nhìn giông gió mà lòng buồn hơn<
>Thôi thì rót chén cô đơn<
>Nghe con chim nhỏ gọi hờn vu vơ.<
>Ngoài sân lá rụng thẫn thờ<
>Trong tim giữ một khoảng bờ bình yên<
>Mai kia nắng đổ bên thềm<
>Mong vườn cây vẫn dịu êm tiếng cười.",https://www.facebook.com/groups/486407735098594/,1,0
THƠ : Lưu lục giang,Luc Giang Luu,lục bát,,"Chẳng ghanh đua chuyện sắc hương<
>Về đêm hoa nở đón sương trong lành<
>Nở tàn khoảng cách mỏng manh<
>nhưng đêm hương sắc xứng danh nữ hoàng<
>Không kiêu ngạo, chẳng lo toan<
>''Nắng lên hoa sẽ héo mòn phôi phai''<
>Từng cánh hoa rất mảnh mai<
>Trong đêm khoe sắc, miệt mài gieo hương<
>Dưới trăng hoa đẹp lạ thường<
>Trăng hoa quyến luyến vấn vương 1 đời<
>Trăng lên hoa sẽ rạng ngời<
>Trăng tàn hoa rũ, muôn đời vậy thôi",https://www.facebook.com/groups/486407735098594/,2,0
Gửi Huế Vạn Yêu Thương,Francis Le,thơ tự do,,"Anh đã từng yêu em<
>Thật nồng nàn..da diết<
>Yêu như chưa bao giờ được yêu<
>Và tưởng như trở thành bất diệt<
>Rứa mà có bao giờ ta được gặp nhau mô<
>Chỉ có bóng em... Áo tím, Cố Đô<
>Sông Hương, Vỉ Dạ, Vân Lâu, con đò<
>Răng mà.. Cứ tràn lên trong thơ anh viết...<
>Và chỉ biết tình ta tha thiết<
>Không biết tự bao giờ.. Huế ơi<
>Ngày thẫn thờ...<
>Đêm say tình trong chữ<
>Lòng bồi hồi...<
>Nhớ quá cái eo thon<
>Anh yêu Huế..<
>Câu ngọt ngào...<
>Mô, tê, răng rứa... hẹn một ngày mai<
>Eng cũng sẽ trở về<
>Dù đời đôi ngã.. với bao lần ước hẹn<
>Mà có lần mô gặp...được trọn vẹn đâu O<
>Thôi thì Eng cứ nhung nhớ u sầu<
>Cho niềm tin theo cái chự<
>Gửi Huế cả vạn lần yêu thương<
>O hỉ.<
>Thơ Nhạc Lê Minh Thuận",https://www.facebook.com/groups/486407735098594/,10,0
Gởi Anh,Lang Truong Pham,bảy chữ,,"Hoa phượng nở đỏ trời rồi, anh ạ!<
>Ve sầu kêu ra rã báo Hạ về.<
>Em bồi hồi trông ngóng, nhớ anh ghê!<
>Anh trở lại thăm quê như đã hứa?!<
>Em thu vén, dọn khu vườn, nhà cửa…<
>Chỉ ít ngày soạn sửa nữa là xong!<
>Một chiếc bàn em đặt cạnh mé sông<
>Nơi có thể ngắm sang đồng ruộng lúa.<
>Nhìn hoa cỏ cùng bướm ong nhảy múa,<
>Nhìn đôi chuồn nép tựa sát vào nhau,<
>Nhìn hoàng hôn rực rỡ những sắc màu,<
>Nhìn mây trắng trên đầu bay lơ lửng…<
>Rồi sáng sớm bình minh tươi nắng ửng<
>Em thấy anh lặng đứng vẻ suy tư…<
>Dáng dấp anh em nhớ tới bây chừ<
>Nửa như thật, nửa như là hư ảo!<
>Anh vượt khỏi chuyện tiền nong, cơm áo;<
>Thoát ra ngoài khuôn sáo, những lồng giam<
>Sống tự do dù chịu cảnh cơ hàn,<
>Tìm lạc thú bình an trong thi cảnh.<
>Em sung sướng với niềm vui-diễm hạnh<
>Được bên anh xa lánh những xô bồ.<
>Được trở thành đôi nét của nàng thơ<
>Và đâu đó trong giấc mơ anh ngủ!<
>Em hoài niệm những tháng ngày xưa cũ!<
>Về nhé anh-trú ngụ giữa lòng em!<
>Ph. Lăng Trường",https://www.facebook.com/groups/486407735098594/,4,0
"Thơ về sông của Tạ Thăng Hùng, bài 7",Tạ Thăng Hùng,bảy chữ,,"Sông Thames<
>Sông Thames trẻ tưởng chừng mười tám tuổi<
>Nối đôi bờ thành phố dưới trời sao<
>Bốn mùa yêu dòng nước chảy dạt dào<
>Nghe như khúc ầu ơ xưa mẹ hát.<
>Sông ôm mãi vào lòng bao mộng ước<
>Gánh trên vai trĩu nặng những cây cầu<
>Kéo đôi bờ thêm xích lại gần nhau<
>Như đôi mắt kéo chúng mình gần lại.<
>Sông duyên dáng, dịu dàng và êm ái<
>Vẫn im nghe năm tháng chuyện trên đời<
>Chuyện tình yêu đằm thắm tuổi đôi mươi<
>Chuyện thế giới hoà bình và phát triển.<
>Sông không ngủ ngày đêm chờ người đến<
>Tàu ngược xuôi cùng thành phố lên đèn<
>Đêm xuống dòng Thames rực rỡ mộng mơ hơn<
>Cho duyên thắm sau mỗi lần hò hẹn.<
>Khi em đến buổi đầu nghe sông hát<
>Vầng trăng vàng soi bóng dáng em đi<
>London Eye lưu luyến gió thầm thì<
>Nghiêng bóng xuống dòng Thames nhìn du khách.<
>Không xa lắm bên bờ sông lấp lánh<
>Tháp Big Ben gõ nhạc điểm báo giờ<
>Chẳng kể ngày đêm, mùa nắng, mùa mưa<
>Du khách đến lòng trầm trồ chiêm ngưỡng.<
>Sông Thames đẹp như một nàng thiếu nữ<
>Mái tóc xanh dòng nước chảy mượt mà<
>Đã đến đây rồi chẳng ai muốn rời xa<
>Phải lòng hết nụ cười sông lấp lánh.",https://www.facebook.com/groups/486407735098594/,5,0
Hạ Thương,Ngô Dương Hải,bảy chữ,,"Nhé hạ đừng để nắng rát mưa sa<
>Để nhạc ve vỡ òa trong hoa nắng<
>Để cho mây những chiều trôi lẳng lặng<
>Để gió đu cùng mơ ước bay cao!<
>Để thuyền trăng ru cánh võng ngọt ngào<
>Để sao xa lọt vào đôi mắt trẻ<
>Để dế ru bản tình ca khe khẽ<
>Để sữa thơm nồng má trẻ ngây thơ!<
>Để người xa về bên bến đợi chờ<
>Để đò ngang nối đôi bờ thương nhớ<
>Để bờ môi... ghé bờ môi hé mở<
>Để áng mây hồng... soi bóng dòng trong!<
>Nhé hạ ơi... thương nhớ đã đầy đong<
>Để ta ôm vào lòng ban sơ ấy<
>Tím bằng lăng sao thân thương đến vậy<
>Nghiêng cả hạ rồi... thế đấy vì thương...!",https://www.facebook.com/groups/486407735098594/,1,0
Thái Bình Quê Anh.,Trịnh Văn Cạnh,bảy chữ,,"Em có về nơi ấy với anh<
>Ngắm con sông luộc chảy vòng quanh<
>Bốn mùa hoa lá lúa tươi tốt<
>Dòng nước trong xanh mát ngọt lành.",https://www.facebook.com/groups/486407735098594/,3,0
Mười Năm Chờ Đợi.,Đồng Quê Nguyen Sơn,bảy chữ,,"Bài 33<
>Mười năm sáng vẩn chiều vơ<
>Mười năm sáng ngẩn chiều ngơ nhớ là<
>Đã lâu Chàng đã Vắng nhà<
>Không lần...Trở lại Cách xa Ngàn trùng<
>Nửa vòng Trái Đất ung dung<
>Tranh tài...Đoạt lợi Anh cùng Người Ta<
>Giầu sang anh hưởng xa hoa<
>Chàng mê Người lạ Ngọc ngà Đó Thôi<
>Sao anh Lỗi hẹn Cùng Tôi<
>Mau quên kỷ niệm của hồi thanh xuân<
>Sao anh quên hết nghĩa ân<
>Những đêm hò hẹn ngâm vần tình thơ<
>Sao anh quên hết đôi bờ<
>Sông quê bến đợi bến chờ thuyền hoa<
>Năm lên mười bẩy nết na<
>Khuôn trăng...Đầy đặn La đà Đẹp xinh<
>Mắt nai ngơ ngác lung linh<
>Cái nhìn... Trìu mến Tỏ tình Trao Nhau<
>Nụ hôn nồng hậu thắm màu<
>Mối tình trong trắng ngàn sau đợi chờ<
>Nhưng đâu hay biết hay ngờ<
>Chỉ là...Ảo mộng... Bây giờ Không Anh<
>Bao nhiêu ước hẹn ngày xanh<
>Chỉ là Sương khói Sớm thành Mau tan<
>Năm xưa mơ giấc mộng vàng<
>Ngày nay chợt tỉnh bàng hoàng xót xa<
>Một năm rồi một năm qua<
>Mười năm... Chờ đợi...Bao la Biển tình.",https://www.facebook.com/groups/486407735098594/,11,1
Gần hai thập kỉ âm dương li biệt.,Duyduong Duong,lục bát,,"Khói lạnh đêm trường phủ mái hiên.<
>Lá úa bên thềm rơi lặng lẽ,<
>Trăng tàn cuối ngõ gợi ưu phiền.<
>Tình xưa dẫu khuất còn vương vấn,<
>Nghĩa cũ dù xa vẫn nối liền.<
>Một nén tâm hương lòng tưởng niệm,<
>Ngàn thu thương nhớ chẳng nguôi yên.<
>Dương Hoàng Dương",https://www.facebook.com/groups/486407735098594/,1,0
